Round,Variable,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10
R06,Ordinary_Profit,9770,11200,11000,12300,11500,12613,12200,4000,11570,6110
R06,Current_Liabilities,0,0,0,0,0,0,0,0,0,0
R06,Retained_Earnings,45300,38066,55000,46450,53255,49053,45180,19760,54170,25610
R06,Capital_Stock,500000,500000,500000,500000,500000,500000,500000,500000,500000,500000
R06,Liabilities_and_Owners_Equity,545300,538066,555000,546450,553255,549053,545180,519760,554170,525610
R07,Product_Demand,1392,1392,1392,1392,1392,1392,1392,1392,1392,1392
R07,Material_Price,400,400,400,400,400,400,400,400,400,400
R07,General_and_Administrative_Expenses,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
R07,Selling_Price,729,710,810,690,801,745,730,770,780,790
R07,Production_Order,145,160,105,175,105,120,137,120,120,100
R07,Materials_Procurement,145,170,105,175,100,100,140,140,120,110
R07,Cumulative_Selling_Price,5153,4952,5560,4980,5642,5149,5109,5065,5436,5275
R07,Unit_Manufacturing_Cost,100,100,100,100,100,100,100,100,100,100
R07,Materials_Ordered,145,170,105,175,100,100,140,140,120,110
R07,Materials_Delivered,140,160,105,220,110,150,127,120,120,100
R07,Cumulative_Materials_Delivered,930,980,705,1130,750,970,882,790,770,750
R07,Procurement_Cost,56000,64000,42000,88000,44000,60000,50800,48000,48000,40000
R07,Max_Production_Quantity,190,160,105,250,120,170,127,120,120,100
R07,Number_of_Production_Order,145,160,105,175,105,120,137,120,120,100
R07,Number_of_Products_in_Process,145,160,105,175,105,120,127,120,120,100
R07,Material_Inventory,45,0,0,75,15,50,0,0,0,0
R07,Number_of_Products_Produced,140,150,100,190,110,150,135,110,120,130
R07,Cumulative_Number_of_Products_Produced,840,920,700,980,730,900,855,770,750,750
R07,Production_Cost,14500,16000,10500,17500,10500,12000,12700,12000,12000,10000
R07,Number_of_Products_Ready_for_Sale,140,150,100,190,110,150,135,110,120,130
R07,Customer_Visited,145,162,108,180,112,143,149,109,121,120
R07,Cumulative_Customer_Visited,930,1038,751,1047,732,946,954,938,801,848
R07,Number_of_Sales,140,150,100,180,110,143,135,109,120,120
R07,Cumulative_Number_of_Sales,840,918,700,970,710,886,855,765,750,729
R07,Product_Shortage,5,12,8,0,2,0,14,0,1,0
R07,Cumulative_Product_Shortage,-90,-120,-51,-77,-22,-60,-99,-173,-51,-119
R07,Shortage_Cost,1145,2520,2480,0,602,0,3220,0,280,0
R07,Cumulative_Shortage_Cost,-21370,-24684,-14875,-17360,-6554,-14130,-22402,-36310,-13633,-27635
R07,Product_Inventory,0,0,0,0,0,0,0,0,0,0
R07,Product_Disposed,0,0,0,10,0,7,0,1,0,10
R07,Cumulative_Product_Disposed,0,-2,0,-10,-20,-14,0,-5,0,-21
R07,Cumulative_Disposal_Loss,0,-1000,0,-5000,-10000,-7000,0,-2500,0,-10500
R07,Sales,102060,106500,81000,124200,88110,106535,98550,83930,93600,94800
R07,Cumulative_Sales,617360,649566,556000,685650,571365,650588,623730,553690,582770,550410
R07,Debt,0,0,0,0,0,0,0,0,0,0
R07,Interest_Expense,0,0,0,0,0,0,0,0,0,0
R07,Cash_Flow,11560,6500,8500,-1300,13610,14535,15050,3930,13600,24800
R07,Cumulative_Cash_Flow,16860,19566,63500,-11850,57865,30588,42730,18690,57770,35410
R07,Cash,216860,219566,263500,188150,257865,230588,242730,218690,257770,235410
